VID_PATH = ./data/IMG_5919.MOV
RSZ_SCLE = 0.8
HGT, WDT = 2160, 3840
LEN, FPS = 1612, 32

5.46%	2.42	0.34	0.9987
5.52%	2.45	0.34	0.9989
5.58%	2.48	0.35	0.9986
5.65%	2.52	0.35	0.9987
5.71%	2.55	0.35	0.9977
5.77%	2.58	0.35	0.9992
5.83%	2.62	0.35	0.9983
5.89%	2.65	0.35	0.9988
5.96%	2.68	0.35	0.9983
6.02%	2.72	0.35	0.9985
6.08%	2.75	0.35	0.9979
6.14%	2.78	0.35	0.9979
6.2%	2.82	0.35	0.9976
6.27%	2.85	0.35	0.9983
6.33%	2.88	0.35	0.9981
6.39%	2.92	0.35	0.9986
6.45%	2.95	0.35	0.998
6.51%	2.98	0.35	0.9993
6.58%	3.02	0.35	0.9977
6.64%	3.05	0.35	0.9982
6.7%	3.08	0.34	0.9979
6.76%	3.12	0.34	0.9989
6.82%	3.15	0.34	0.9988
6.89%	3.18	0.34	0.9987
6.95%	3.22	0.34	0.9988
7.01%	3.25	0.34	0.9993
7.07%	3.28	0.34	0.9992
7.13%	3.32	0.35	0.9983
7.2%	3.35	0.35	0.9987
7.26%	3.38	0.35	0.9986
7.32%	3.42	0.35	0.9984
7.38%	3.45	0.35	0.9985
7.44%	3.48	0.35	0.9987
7.51%	3.52	0.42	0.9982
7.57%	3.55	0.42	0.9974
7.63%	3.58	0.42	0.9981
7.69%	3.62	0.42	0.9978
7.75%	3.65	0.42	0.9988
7.82%	3.68	0.42	0.9978
7.88%	3.72	2.00	0.9982
7.94%	3.75	2.00	0.9986
8.0%	3.78	2.00	0.9982
8.06%	3.82	2.00	0.9979
8.13%	3.85	2.00	0.9979
8.19%	3.88	2.00	0.9974
8.25%	3.92	7.40	0.9987
8.31%	3.95	7.40	0.9988
8.37%	3.98	7.40	0.9988
8.44%	4.02	7.40	0.9983
8.5%	4.05	7.40	0.9984
8.56%	4.08	7.40	0.9988
8.62%	4.12	4.94	0.9996
8.68%	4.15	4.94	0.9985
8.75%	4.18	4.94	0.9986
8.81%	4.22	4.94	0.9987
8.87%	4.25	4.94	0.9984
8.93%	4.28	4.94	0.9992
9.0%	4.32	3.04	0.998
9.06%	4.35	3.04	0.9984
9.12%	4.38	3.04	0.998
9.18%	4.42	3.04	0.9504
9.24%	4.45	3.04	0.9976
9.31%	4.48	3.04	0.9975
9.37%	4.52	3.22	0.9975
9.43%	4.55	3.22	0.9964
9.49%	4.58	3.22	0.9974
9.55%	4.62	3.22	0.9979
9.62%	4.65	3.22	0.9973
9.68%	4.68	3.22	0.9977
9.74%	4.72	3.13	0.9979
