VID_PATH = ./data/IMG_5919.MOV
RSZ_SCLE = 0.8
HGT, WDT = 2160, 3840
LEN, FPS = 1612, 32

6.95%	3.22	0.34	0.9999
7.01%	3.25	0.34	1.0
7.07%	3.28	0.34	1.0
7.13%	3.32	0.35	0.9998
7.2%	3.35	0.35	0.9999
7.26%	3.38	0.35	0.9999
7.32%	3.42	0.35	0.9999
7.38%	3.45	0.35	0.9999
7.44%	3.48	0.35	0.9999
7.51%	3.52	0.42	0.9666
7.57%	3.55	0.42	0.891
7.63%	3.58	0.42	0.9394
7.69%	3.62	0.42	0.9999
7.75%	3.65	0.42	0.6833
7.82%	3.68	0.42	0.9468
7.88%	3.72	2.00	0.9998
7.94%	3.75	2.00	0.9996
8.0%	3.78	2.00	0.9938
8.06%	3.82	2.00	0.9997
8.13%	3.85	2.00	0.9619
8.19%	3.88	2.00	0.8998
8.25%	3.92	7.40	0.9995
8.31%	3.95	7.40	0.5833
8.37%	3.98	7.40	0.9976
8.44%	4.02	7.40	0.9852
8.5%	4.05	7.40	0.9713
8.56%	4.08	7.40	0.9666
8.62%	4.12	4.94	0.9999
8.68%	4.15	4.94	0.9929
8.75%	4.18	4.94	0.8025
8.81%	4.22	4.94	0.7655
8.87%	4.25	4.94	0.8949
8.93%	4.28	4.94	0.9784
9.0%	4.32	3.04	0.7531
9.06%	4.35	3.04	0.7964
9.12%	4.38	3.04	0.9999
9.18%	4.42	3.04	0.867
9.24%	4.45	3.04	0.8305
9.31%	4.48	3.04	0.6451
9.37%	4.52	3.22	0.5411
9.43%	4.55	3.22	0.9997
9.49%	4.58	3.22	0.6857
9.55%	4.62	3.22	0.9995
9.62%	4.65	3.22	1.0
9.68%	4.68	3.22	0.8674
9.74%	4.72	3.13	0.8861
9.8%	4.75	3.43	0.6114
9.86%	4.78	3.13	0.6478
9.93%	4.82	3.13	0.8801
9.99%	4.85	3.13	0.6097
10.05%	4.88	D.- =	0.1117
10.11%	4.92	0.31	0.9874
10.17%	4.95	0.31	0.9657
10.24%	4.98	0.31	0.9987
10.3%	5.02	0.31	0.6925
10.36%	5.05	0.31	0.9984
10.42%	5.08	0.31	0.9998
10.48%	5.12	0.31	0.8482
10.55%	5.15	0.33	0.6423
10.61%	5.18	0.33	0.9945
10.67%	5.22	0.33	0.6615
10.73%	5.25	0.33	1.0
10.79%	5.28	0.33	0.9999
10.86%	5.32	0.33	1.0
10.92%	5.35	0.33	1.0
10.98%	5.38	0.33	1.0
11.04%	5.42	0.33	0.5905
11.1%	5.45	0.33	1.0
11.17%	5.48	0.33	0.9999
11.23%	5.52	0.33	0.6785
11.29%	5.55	0.33	0.737
11.35%	5.58	0.33	1.0
11.41%	5.62	0.33	1.0
11.48%	5.65	0.33	1.0
11.54%	5.68	0.33	1.0
11.6%	5.72	0.33	1.0
11.66%	5.75	0.33	1.0
11.72%	5.78	0.33	1.0
11.79%	5.82	0.33	0.9729
11.85%	5.85	0.33	1.0
11.91%	5.88	0.33	0.9046
11.97%	5.92	0.33	1.0
12.03%	5.95	0.33	1.0
12.1%	5.98	0.33	1.0
12.16%	6.02	0.33	0.7895
12.22%	6.05	0.33	0.9999
12.28%	6.08	0.33	0.9997
12.34%	6.12	0.33	0.9997
12.41%	6.15	0.33	0.4284
12.47%	6.18	0.33	0.9999
12.53%	6.22	0.33	0.9498
12.59%	6.25	0.33	0.9999
12.66%	6.28	0.33	0.9991
12.72%	6.32	0.33	0.9997
12.78%	6.35	0.33	0.9998
12.84%	6.38	0.33	0.9998
12.9%	6.42	0.33	0.9999
12.97%	6.45	0.33	0.8577
13.03%	6.48	0.33	0.9998
13.09%	6.52	0.33	0.9999
13.15%	6.55	0.33	0.9999
13.21%	6.58	0.33	0.965
13.28%	6.62	0.33	0.9999
13.34%	6.65	0.33	1.0
13.4%	6.68	0.33	0.9999
13.46%	6.72	0.33	1.0
13.52%	6.75	0.33	0.9999
13.59%	6.78	0.33	1.0
13.65%	6.82	0.33	1.0
13.71%	6.85	0.33	1.0
13.77%	6.88	0.33	0.9999
13.83%	6.92	0.33	1.0
13.9%	6.95	0.33	0.9902
13.96%	6.98	0.33	1.0
14.02%	7.02	0.33	1.0
14.08%	7.05	0.33	0.9995
14.14%	7.08	0.33	0.9994
14.21%	7.12	0.33	1.0
14.27%	7.15	0.33	0.7335
14.33%	7.18	0.33	1.0
14.39%	7.22	0.33	0.9999
14.45%	7.25	0.33	0.6495
14.52%	7.28	0.33	0.5919
14.58%	7.32	0.33	1.0
14.64%	7.35	0.33	0.9999
14.7%	7.38	0.33	0.5814
14.76%	7.42	0.33	0.8009
14.83%	7.45	0.33	1.0
14.89%	7.48	0.33	1.0
14.95%	7.52	0.33	1.0
15.01%	7.55	0.33	0.7602
15.07%	7.58	0.33	1.0
15.14%	7.62	0.33	0.9999
15.2%	7.65	0.33	1.0
15.26%	7.68	0.33	1.0
15.32%	7.72	0.33	1.0
15.38%	7.75	0.33	0.9999
15.45%	7.78	0.33	1.0
15.51%	7.82	0.33	0.9998
15.57%	7.85	0.33	0.5937
15.63%	7.88	0.33	1.0
15.69%	7.92	0.33	1.0
15.76%	7.95	T3J	0.0551
15.82%	7.98	0.31	0.8467
15.88%	8.02	0.31	0.9984
15.94%	8.05	0.31	0.7453
16.0%	8.08	0.34	0.6339
16.07%	8.12	0.31	0.8744
16.13%	8.15	0.31	0.9799
16.19%	8.18	0.25	0.9999
16.25%	8.22	0.25	0.9999
16.32%	8.25	0.25	0.9999
16.38%	8.28	0.25	1.0
16.44%	8.32	0.25	0.6316
16.5%	8.35	0.25	0.9999
16.56%	8.38	0.27	0.9999
16.63%	8.42	0.27	0.9998
16.69%	8.45	0.27	0.6419
16.75%	8.48	0.27	1.0
16.81%	8.52	0.27	0.9992
16.87%	8.55	0.27	0.5987
16.94%	8.58	0.27	0.5695
17.0%	8.62	0.27	0.9999
17.06%	8.65	0.27	1.0
17.12%	8.68	0.27	0.7656
17.18%	8.72	0.27	0.9593
17.25%	8.75	0.27	0.9651
17.31%	8.78	0.27	0.9863
17.37%	8.82	0.27	0.6907
17.43%	8.85	0.27	1.0
17.49%	8.88	0.27	0.9999
17.56%	8.92	0.27	0.7669
17.62%	8.95	0.27	1.0
17.68%	8.98	0.27	0.8278
17.74%	9.02	0.27	1.0
17.8%	9.05	0.27	1.0
17.87%	9.08	0.27	1.0
17.93%	9.12	0.27	1.0
17.99%	9.15	0.27	1.0
18.05%	9.18	0.27	0.9311
18.11%	9.22	0.27	0.9967
18.18%	9.25	0.27	0.9999
18.24%	9.28	0.27	0.9999
18.3%	9.32	0.27	1.0
18.36%	9.35	0.27	1.0
18.42%	9.38	0.27	1.0
18.49%	9.42	0.27	0.9703
18.55%	9.45	0.27	0.7221
18.61%	9.48	0.27	1.0
18.67%	9.52	0.27	0.9999
18.73%	9.55	0.27	0.7199
