VID_PATH = ./data/IMG_6054.MOV
RSZ_SCLE = 0.8
HGT, WDT = 2160, 3840
LEN, FPS = 639, 31

5.95%	0.62	-0.81	0.9009
6.1%	0.63	-0.81	0.9387
6.26%	0.65	-0.81	0.9015
6.42%	0.67	-0.81	0.8864
6.57%	0.68	-0.81	0.9025
6.73%	0.7	-0.81	0.9847
6.89%	0.72	-0.81	0.5997
7.04%	0.73	0.81	0.9515
7.2%	0.75	0.81	0.9823
7.36%	0.77	-0.81	0.8933
7.51%	0.78	0.81	0.8566
7.67%	0.8	0.81	0.7447
7.82%	0.82	-0.81	0.964
7.98%	0.83	-0.81	0.9817
8.14%	0.85	-0.81	0.8105
8.29%	0.87	0.81	0.9991
8.45%	0.88	0.81	0.9999
8.61%	0.92	0.81	0.5649
8.76%	0.95	-0.81	0.8394
8.92%	0.98	-0.81	0.9168
9.08%	1.02	0.81	0.9985
9.23%	1.05	-0.81	0.9153
9.39%	1.08	-0.81	0.7361
9.55%	1.12	0.81	0.955
9.7%	1.15	0.82	0.9988
9.86%	1.18	0.82	0.9985
10.02%	1.22	0.82	0.9548
10.17%	1.25	-0.82	0.5063
10.33%	1.28	0.82	1.0
10.49%	1.32	0.82	0.9907
10.64%	1.35	0.82	0.8388
10.8%	1.38	0.81	0.9939
10.95%	1.42	-0.81	0.9427
11.11%	1.45	0.81	0.9939
11.27%	1.48	-0.81	0.866
11.42%	1.52	0.81	0.941
11.58%	1.55	0.82	0.9477
11.74%	1.58	0.82	0.9869
11.89%	1.62	0.82	0.9365
12.05%	1.65	0.82	0.9998
12.21%	1.68	0.82	0.9195
12.36%	1.72	0.82	0.9286
12.52%	1.75	-0.82	0.8649
12.68%	1.78	4.21	0.9693
12.83%	1.82	4.21	0.9571
12.99%	1.85	4.21	0.9955
13.15%	1.88	4.21	0.9981
13.3%	1.92	4.21	0.9981
13.46%	1.95	6.48	0.6716
13.62%	1.98	6.48	0.9997
13.77%	2.02	6.48	0.8904
13.93%	2.05	6.48	0.515
14.08%	2.08	6.48	0.9658
14.24%	2.12	6.48	0.9109
14.4%	2.15	6.48	0.6965
14.55%	2.18	4.71	0.6668
