VID_PATH = ./data/IMG_5919.MOV
RSZ_SCLE = 0.8
HGT, WDT = 2160, 3840
LEN, FPS = 1612, 32

2.3%	0.72	0.35	0.9985
2.36%	0.75	0.35	0.9977
2.42%	0.78	0.35	0.9985
2.48%	0.82	0.35	0.9976
2.54%	0.85	0.35	0.9985
2.61%	0.88	0.35	0.9992
2.67%	0.92	0.35	0.9986
2.73%	0.95	0.35	0.9979
2.79%	0.98	0.35	0.9994
2.85%	1.02	0.35	0.9978
2.92%	1.05	0.35	0.9985
2.98%	1.08	0.35	0.9983
3.04%	1.12	0.35	0.9979
3.1%	1.15	0.35	0.9983
3.16%	1.18	0.35	0.9977
3.23%	1.22	0.35	0.9983
3.29%	1.25	0.35	0.9976
3.35%	1.28	0.35	0.9982
3.41%	1.32	0.35	0.9986
3.47%	1.35	0.35	0.998
3.54%	1.38	0.35	0.9998
3.6%	1.42	0.35	0.9993
3.66%	1.45	0.35	0.9987
3.72%	1.48	0.35	0.9986
3.78%	1.52	0.35	0.9983
3.85%	1.55	0.35	0.9981
3.91%	1.58	0.35	0.9983
3.97%	1.62	0.35	0.998
4.03%	1.65	0.35	0.999
4.09%	1.68	0.35	0.9981
4.16%	1.72	0.35	0.9985
4.22%	1.75	0.35	0.9984
4.28%	1.78	0.35	0.9984
4.34%	1.82	0.35	0.9984
4.4%	1.85	0.35	0.9981
4.47%	1.88	0.35	0.9987
4.53%	1.92	0.35	0.9986
4.59%	1.95	0.35	0.9986
4.65%	1.98	0.35	0.9987
4.71%	2.02	0.35	0.998
4.78%	2.05	0.35	0.9986
4.84%	2.08	0.35	0.998
4.9%	2.12	0.35	0.998
4.96%	2.15	0.35	0.9979
5.02%	2.18	0.35	0.9978
5.09%	2.22	0.35	0.998
5.15%	2.25	0.35	0.9986
5.21%	2.28	0.34	0.9984
5.27%	2.32	0.34	0.9985
5.33%	2.35	0.34	0.9985
5.4%	2.38	0.34	0.9988
5.46%	2.42	0.34	0.9984
5.52%	2.45	0.34	0.9985
5.58%	2.48	0.35	0.9988
5.65%	2.52	0.35	0.9979
5.71%	2.55	0.35	0.9977
5.77%	2.58	0.35	0.9985
5.83%	2.62	0.35	0.9994
5.89%	2.65	0.35	0.9978
5.96%	2.68	0.35	0.9982
6.02%	2.72	0.35	0.998
6.08%	2.75	0.35	0.9982
6.14%	2.78	0.35	0.9983
6.2%	2.82	0.35	0.9977
6.27%	2.85	0.35	0.9982
6.33%	2.88	0.35	0.9992
6.39%	2.92	0.35	0.9987
6.45%	2.95	0.35	0.9985
6.51%	2.98	0.35	0.9992
6.58%	3.02	0.35	0.9987
6.64%	3.05	0.35	0.9983
6.7%	3.08	0.34	0.9979
6.76%	3.12	0.34	0.9987
6.82%	3.15	0.34	0.9988
6.89%	3.18	0.34	0.9991
6.95%	3.22	0.34	0.9989
7.01%	3.25	0.34	0.9992
7.07%	3.28	0.34	0.9991
7.13%	3.32	0.35	0.9982
7.2%	3.35	0.35	0.998
7.26%	3.38	0.35	0.9995
7.32%	3.42	0.35	0.9984
7.38%	3.45	0.35	0.998
7.44%	3.48	0.35	0.9986
7.51%	3.52	0.42	0.9976
7.57%	3.55	0.42	0.9972
7.63%	3.58	0.42	0.9974
7.69%	3.62	0.42	0.9975
7.75%	3.65	0.42	0.9979
7.82%	3.68	0.42	0.998
7.88%	3.72	2.00	0.9974
7.94%	3.75	2.00	0.9986
8.0%	3.78	2.00	0.9982
8.06%	3.82	2.00	0.998
8.13%	3.85	2.00	0.9972
8.19%	3.88	2.00	0.998
8.25%	3.92	7.40	0.9974
8.31%	3.95	7.40	0.9989
8.37%	3.98	7.40	0.9983
8.44%	4.02	7.40	0.9981
8.5%	4.05	7.40	0.9982
8.56%	4.08	7.40	0.9983
8.62%	4.12	4.94	0.9988
8.68%	4.15	4.94	0.998
8.75%	4.18	4.94	0.9986
8.81%	4.22	4.94	0.9983
8.87%	4.25	4.94	0.9979
8.93%	4.28	4.94	0.9984
9.0%	4.32	3.04	0.9977
9.06%	4.35	3.04	0.9978
9.12%	4.38	3.04	0.997
9.18%	4.42	3.04	0.997
9.24%	4.45	3.04	0.9967
9.31%	4.48	3.04	0.9966
9.37%	4.52	3.22	0.9967
9.43%	4.55	3.22	0.9967
9.49%	4.58	3.22	0.9964
9.55%	4.62	3.22	0.9976
9.62%	4.65	3.22	0.9972
9.68%	4.68	3.22	0.9974
9.74%	4.72	3.13	0.9973
9.8%	4.75	3.13	0.998
9.86%	4.78	3.13	0.9973
9.93%	4.82	3.13	0.9971
9.99%	4.85	3.13	0.9971
10.05%	4.88	0.13	0.9763
10.11%	4.92	0.31	0.9968
10.17%	4.95	0.31	0.9971
10.24%	4.98	0.31	0.9971
10.3%	5.02	0.31	0.9972
10.36%	5.05	0.31	0.9962
10.42%	5.08	0.31	0.9975
10.48%	5.12	0.31	0.9879
10.55%	5.15	0.33	0.9979
10.61%	5.18	0.33	0.9984
10.67%	5.22	0.33	0.9985
10.73%	5.25	0.33	0.9986
10.79%	5.28	0.33	0.9983
10.86%	5.32	0.33	0.9984
10.92%	5.35	0.33	0.9987
10.98%	5.38	0.33	0.9987
11.04%	5.42	0.33	0.9983
11.1%	5.45	0.33	0.9993
11.17%	5.48	0.33	0.9983
11.23%	5.52	0.33	0.9981
11.29%	5.55	0.33	0.9986
11.35%	5.58	0.33	0.9985
11.41%	5.62	0.33	0.9982
11.48%	5.65	0.33	0.9985
11.54%	5.68	0.33	0.9982
11.6%	5.72	0.33	0.9987
11.66%	5.75	0.33	0.9983
11.72%	5.78	0.33	0.9987
11.79%	5.82	0.33	0.9983
11.85%	5.85	0.33	0.9991
11.91%	5.88	0.33	0.9981
11.97%	5.92	0.33	0.9983
12.03%	5.95	0.33	0.9985
12.1%	5.98	0.33	0.9997
12.16%	6.02	0.33	0.9975
12.22%	6.05	0.33	0.9983
12.28%	6.08	0.33	0.9983
12.34%	6.12	0.33	0.9989
12.41%	6.15	0.33	0.9982
12.47%	6.18	0.33	0.9986
12.53%	6.22	0.33	0.998
12.59%	6.25	0.33	0.9985
12.66%	6.28	0.33	0.9983
12.72%	6.32	0.33	0.9988
12.78%	6.35	0.33	0.9979
12.84%	6.38	0.33	0.9988
12.9%	6.42	0.33	0.9985
12.97%	6.45	0.33	0.9987
13.03%	6.48	0.33	0.9988
13.09%	6.52	0.33	0.999
13.15%	6.55	0.33	0.9984
13.21%	6.58	0.33	0.9987
13.28%	6.62	0.33	0.9986
13.34%	6.65	0.33	0.9994
13.4%	6.68	0.33	0.9989
13.46%	6.72	0.33	0.9998
13.52%	6.75	0.33	0.9991
13.59%	6.78	0.33	0.9993
13.65%	6.82	0.33	0.998
13.71%	6.85	0.33	0.9983
13.77%	6.88	0.33	0.9982
13.83%	6.92	0.33	0.9989
13.9%	6.95	0.33	0.9981
13.96%	6.98	0.33	0.9996
14.02%	7.02	0.33	0.9987
14.08%	7.05	0.33	0.998
14.14%	7.08	0.33	0.9979
14.21%	7.12	0.33	0.9986
14.27%	7.15	0.33	0.9982
14.33%	7.18	0.33	0.9984
14.39%	7.22	0.33	0.9978
14.45%	7.25	0.33	0.9977
14.52%	7.28	0.33	0.9984
14.58%	7.32	0.33	0.9983
14.64%	7.35	0.33	0.9987
14.7%	7.38	0.33	0.9986
14.76%	7.42	0.33	0.9984
14.83%	7.45	0.33	0.9981
14.89%	7.48	0.33	0.9992
14.95%	7.52	0.33	0.9988
15.01%	7.55	0.33	0.9981
15.07%	7.58	0.33	0.9983
15.14%	7.62	0.33	0.9976
15.2%	7.65	0.33	0.9984
15.26%	7.68	0.33	0.9978
15.32%	7.72	0.33	0.9978
15.38%	7.75	0.33	0.9981
15.45%	7.78	0.33	0.9977
15.51%	7.82	0.33	0.9988
15.57%	7.85	0.33	0.9982
15.63%	7.88	0.33	0.9981
15.69%	7.92	0.33	0.998
15.76%	7.95	0.31	0.652
15.82%	7.98	-0.31	0.9648
15.88%	8.02	-0.31	0.9604
15.94%	8.05	-0.31	0.961
16.0%	8.08	-0.31	0.9648
16.07%	8.12	-0.31	0.9458
16.13%	8.15	-0.31	0.9579
16.19%	8.18	0.25	0.9995
16.25%	8.22	0.25	0.9987
16.32%	8.25	0.25	0.998
16.38%	8.28	0.25	0.9982
16.44%	8.32	0.25	0.9972
16.5%	8.35	0.25	0.9976
16.56%	8.38	0.27	0.9976
16.63%	8.42	0.27	0.998
16.69%	8.45	0.27	0.9977
16.75%	8.48	0.27	0.9977
16.81%	8.52	0.27	0.9982
16.87%	8.55	0.27	0.9989
16.94%	8.58	0.27	0.9979
17.0%	8.62	0.27	0.9983
17.06%	8.65	0.27	0.9974
17.12%	8.68	0.27	0.9976
17.18%	8.72	0.27	0.9977
17.25%	8.75	0.27	0.9979
17.31%	8.78	0.27	0.9974
17.37%	8.82	0.27	0.9984
17.43%	8.85	0.27	0.9979
17.49%	8.88	0.27	0.9984
17.56%	8.92	0.27	0.9981
17.62%	8.95	0.27	0.9977
17.68%	8.98	0.27	0.9976
17.74%	9.02	0.27	0.997
17.8%	9.05	0.27	0.9979
17.87%	9.08	0.27	0.9974
17.93%	9.12	0.27	0.9972
17.99%	9.15	0.27	0.9972
18.05%	9.18	0.27	0.9973
18.11%	9.22	0.27	0.9975
18.18%	9.25	0.27	0.9975
18.24%	9.28	0.27	0.9981
18.3%	9.32	0.27	0.9977
18.36%	9.35	0.27	0.9986
18.42%	9.38	0.27	0.9978
18.49%	9.42	0.27	0.9977
18.55%	9.45	0.27	0.9979
18.61%	9.48	0.27	0.9977
18.67%	9.52	0.27	0.9981
18.73%	9.55	0.27	0.9979
18.8%	9.58	0.27	0.9979
18.86%	9.62	0.27	0.998
18.92%	9.65	0.27	0.9983
18.98%	9.68	0.27	0.9975
19.04%	9.72	0.27	0.9984
