VID_PATH = ./data/IMG_5920.MOV
RSZ_SCLE = 0.8
HGT, WDT = 1080, 1920
LEN, FPS = 6848, 195

1.58%	0.56	6.93	0.5877
1.59%	0.56	6.93	1.0
1.61%	0.57	6.93	0.9998
1.62%	0.57	6.93	0.9998
1.64%	0.58	6.93	0.9995
1.65%	0.58	6.93	0.9996
1.66%	0.58	6.93	0.9995
1.68%	0.59	6.93	0.8916
1.69%	0.6	6.93	0.9989
1.71%	0.6	6.93	0.6347
1.72%	0.61	6.93	0.999
1.74%	0.62	6.93	0.996
1.75%	0.62	6.93	0.9949
1.77%	0.63	6.93	0.9791
1.78%	0.63	6.93	0.6526
1.8%	0.63	6.93	1.0
1.81%	0.64	6.93	0.9999
1.83%	0.64	7.46	0.6488
1.84%	0.65	7.46	0.9925
1.85%	0.66	7.46	0.9877
1.87%	0.66	7.46	0.7347
1.88%	0.66	7.46	0.8997
1.9%	0.68	7.6	0.1866
1.91%	0.68	7.46	0.5816
1.93%	0.68	7.46	0.9982
1.94%	0.69	7.46	0.4178
1.96%	0.69	7.6	0.4039
1.97%	0.7	7.6	0.8836
1.99%	0.7	7.6	0.7263
2.0%	0.71	7.46	0.9891
2.02%	0.71	7.46	0.9995
2.03%	0.72	7.46	0.9818
2.04%	0.73	7.46	0.9889
2.06%	0.73	7.46	0.9921
2.07%	0.74	7.46	0.9883
2.09%	0.75	7.46	0.3881
2.1%	0.75	7.446	0.8518
2.12%	0.76	7.46	0.6223
2.13%	0.76	7.46	0.6402
2.15%	0.76	7.46	0.3202
2.16%	0.77	7.46	0.904
2.18%	0.77	7.46	0.6908
2.19%	0.78	7.46	0.5829
2.21%	0.78	7.46	0.5406
2.22%	0.79	7.6	0.9953
2.23%	0.79	7.6	0.9822
2.25%	0.8	7.46	0.6167
2.26%	0.81	7.6	0.8423
2.28%	0.81	7.46	0.3402
2.29%	0.82	7.6	0.8118
2.31%	0.82	7A6	0.4209
2.32%	0.83	7.46	0.3322
2.34%	0.83	3.26	0.8357
2.35%	0.84	3.26	0.8967
2.37%	0.84	3.26	0.933
2.38%	0.85	3.26	0.9815
2.39%	0.85	3.26	0.9986
2.41%	0.86	3.26	0.7282
2.42%	0.87	3.26	0.9259
2.44%	0.87	3.26	0.9963
2.45%	0.88	3.26	0.7228
2.47%	0.88	3.26	0.9959
2.48%	0.89	3.26	0.9973
2.5%	0.89	3.26	0.9955
2.51%	0.89	3.26	0.9774
2.53%	0.9	3.26	0.9999
2.54%	0.9	3.26	0.9999
2.56%	0.91	3.26	0.9804
2.57%	0.91	3.26	0.9998
2.58%	0.92	3.26	0.5635
2.6%	0.92	3.26	0.9999
2.61%	0.94	3.26	0.999
2.63%	0.94	3.26	0.9958
2.64%	0.94	3.26	0.9997
2.66%	0.95	3.26	0.9996
2.67%	0.95	3.26	0.8056
2.69%	0.96	3.26	0.9998
2.7%	0.96	3.26	0.98
2.72%	0.96	3.26	0.941
2.73%	0.97	3.26	0.9993
2.75%	0.98	3.26	0.9886
2.76%	0.98	3.26	0.853
2.77%	0.99	3.26	0.9443
2.79%	1.0	3.26	0.8216
2.8%	1.0	3.26	0.9996
2.82%	1.01	3.26	0.8459
2.83%	1.01	3.26	0.8917
2.85%	1.01	3.26	0.6771
2.86%	1.02	3.26	0.9998
2.88%	1.02	3.26	0.9986
2.89%	1.03	3.26	0.9987
2.91%	1.03	3.26	0.9987
2.92%	1.04	3.26	0.9987
2.94%	1.04	3.26	0.5789
2.95%	1.05	3.26	0.6389
2.96%	1.06	3.26	0.9997
2.98%	1.06	3.26	0.9998
2.99%	1.07	3.26	0.9998
3.01%	1.07	3.26	0.9996
3.02%	1.08	3.03	0.3516
3.04%	1.08	3.07	0.8812
3.05%	1.09	3.07	0.836
3.07%	1.09	3.07	0.9828
3.08%	1.09	3.07	0.9976
3.1%	1.1	3.07	0.9621
3.11%	1.11	3.07	0.9952
3.12%	1.12	3.07	0.9962
3.14%	1.12	3.07	0.9975
3.15%	1.13	3.07	0.7343
3.17%	1.14	3.07	0.9918
3.18%	1.14	3.07	0.9937
3.2%	1.14	3.07	0.9945
3.21%	1.15	3.07	0.9976
3.23%	1.15	3.07	0.9968
3.24%	1.16	3.07	0.9968
3.26%	1.16	3.07	0.9984
3.27%	1.16	3.07	0.9919
3.29%	1.17	3.07	0.988
3.3%	1.18	3.07	0.9666
3.31%	1.18	3.07	0.9604
3.33%	1.19	3.07	0.9971
3.34%	1.2	3.07	0.997
3.36%	1.2	3.07	0.9973
3.37%	1.21	3.07	0.9988
