VID_PATH = ./data/IMG_6056.MOV
RSZ_SCLE = 0.8
HGT, WDT = 2160, 3840
LEN, FPS = 601, 60

4.99%	0.48	7.83	0.9824
5.16%	0.5	7.83	0.9968
5.32%	0.52	7.83	0.7642
5.49%	0.53	7.83	0.9995
5.66%	0.55	7.83	0.9994
5.82%	0.57	7.83	0.9989
5.99%	0.58	7.83	0.9995
6.16%	0.6	10.40	0.9963
6.32%	0.62	10.40	0.7191
6.49%	0.63	10.40	0.9998
6.66%	0.65	10.40	0.9569
6.82%	0.67	10.40	0.9998
6.99%	0.68	10.40	0.9999
7.15%	0.7	10.40	0.9635
7.32%	0.72	10.40	1.0
7.49%	0.73	10.40	0.9986
7.65%	0.75	10.40	0.9999
7.82%	0.77	10.40	0.969
7.99%	0.78	10.40	0.6594
8.15%	0.8	10.40	0.996
8.32%	0.82	10.40	0.9994
8.49%	0.83	1.43	0.9994
8.65%	0.85	1.43	0.9824
8.82%	0.87	1.43	0.9992
8.99%	0.88	1.43	0.9974
9.15%	0.9	1.43	0.3786
9.32%	0.92	1.43	0.6263
9.48%	0.93	1.43	0.9968
9.65%	0.95	1.43	0.5888
9.82%	0.97	1.43	0.9108
9.98%	0.98	1.43	0.5668
10.15%	1.0	1.43	0.9929
10.32%	1.02	1.43	0.998
10.48%	1.03	I-0.56	0.5387
10.65%	1.05	I-0.56	0.3521
10.82%	1.07	-0.56	0.8402
10.98%	1.08	1-0.56	0.1938
11.15%	1.1	0.56	0.9997
11.31%	1.12	1-0.56	0.1959
11.48%	1.13	0.56	0.9998
11.65%	1.15	0.56	0.999
11.81%	1.17	0.56	0.9908
11.98%	1.18	0.56	0.9997
12.15%	1.2	0.56	0.9995
12.31%	1.22	0.56	0.9166
12.48%	1.23	0.56	0.9996
12.65%	1.25	0.56	0.969
12.81%	1.27	0.56	0.9997
12.98%	1.28	0.56	0.9997
13.14%	1.3	0.56	0.9992
13.31%	1.32	0.56	0.9985
13.48%	1.33	0.56	0.9968
13.64%	1.35	#-0.56	0.2853
13.81%	1.37	0.56	0.9951
13.98%	1.38	0.56	0.9994
14.14%	1.4	0.56	0.9965
14.31%	1.42	0.56	0.9425
14.48%	1.43	0.56	0.9997
14.64%	1.45	0.56	0.9991
14.81%	1.47	0.56	0.9993
14.98%	1.48	0.56	0.999
15.14%	1.5	0.56	0.9976
15.31%	1.52	0.56	0.9494
15.47%	1.53	0.56	0.9989
15.64%	1.55	0.56	0.781
15.81%	1.57	0.56	0.9636
15.97%	1.58	0.56	0.9554
16.14%	1.6	0.56	0.9939
16.31%	1.62	0.56	0.818
16.47%	1.63	0.56	0.9355
16.64%	1.65	0.56	0.9946
16.81%	1.67	0.56	0.9118
16.97%	1.68	0.56	0.9112
17.14%	1.7	0.56	0.9199
17.3%	1.72	0.56	0.9311
17.47%	1.73	0.56	0.9581
17.64%	1.75	0.56	0.7917
17.8%	1.77	0.56	0.9099
17.97%	1.78	0.56	0.9643
18.14%	1.8	0.56	0.9808
18.3%	1.82	0.56	0.9585
18.47%	1.83	10.56	0.5894
18.64%	1.85	0.56	0.9274
18.8%	1.87	0.56	0.8652
18.97%	1.88	0.56	0.9776
19.13%	1.9	0.56	0.9366
19.3%	1.92	0.56	0.9709
19.47%	1.93	0.56	0.9655
19.63%	1.95	0.56	0.99
19.8%	1.97	0.56	0.9266
19.97%	1.98	0.56	0.9148
20.13%	2.0	0.56	0.984
20.3%	2.02	0.56	0.9618
20.47%	2.03	0.56	0.9958
20.63%	2.05	0.58	0.9867
20.8%	2.07	0.58	0.8813
20.97%	2.08	0.58	0.9799
21.13%	2.1	0.58	0.6781
21.3%	2.12	0.58	0.9877
21.46%	2.13	0.58	0.9344
21.63%	2.15	0.58	0.9183
21.8%	2.17	0.58	0.9534
21.96%	2.18	0.58	0.7726
22.13%	2.2	0.58	0.9343
22.3%	2.22	I-0.58	0.1626
22.46%	2.23	0.58	0.9607
22.63%	2.25	0.58	0.9036
22.8%	2.27	10.58	0.4607
22.96%	2.28	0.58	0.8529
23.13%	2.3	0.58	0.8151
23.29%	2.32	0.58	0.9691
23.46%	2.33	0.58	0.5352
23.63%	2.35	0.58	0.9401
23.79%	2.37	0.58	0.97
23.96%	2.38	0.58	0.9317
24.13%	2.4	0.58	0.9452
24.29%	2.42	10.58	0.6965
24.46%	2.43	J0.57	0.3363
24.63%	2.45	0.57	0.932
24.79%	2.47	0.57	0.9677
24.96%	2.48	0.57	0.7972
25.12%	2.5	0.57	0.952
25.29%	2.52	0.57	0.9403
25.46%	2.53	0.57	0.9953
25.62%	2.55	0.57	0.9975
25.79%	2.57	0.57	0.9961
25.96%	2.58	0.57	0.8314
26.12%	2.6	0.57	0.9428
26.29%	2.62	0.57	0.9893
26.46%	2.63	0.57	0.9923
26.62%	2.65	0.57	0.972
26.79%	2.67	0.57	0.9836
26.96%	2.68	0.57	0.9664
27.12%	2.7	0.57	0.953
27.29%	2.72	0.57	0.9835
27.45%	2.73	I50.57	0.1242
27.62%	2.75	0.57	0.7067
27.79%	2.77	0.57	0.961
27.95%	2.78	0.57	0.5075
28.12%	2.8	0.57	0.9715
28.29%	2.82	0.57	0.9792
28.45%	2.83	0.57	0.9362
28.62%	2.85	0.57	0.8995
28.79%	2.87	0.58	0.7739
28.95%	2.88	0458	0.7304
29.12%	2.9	0"5k	0.0522
29.28%	2.92	k8	0.1277
29.45%	2.93	("8	0.3171
29.62%	2.95	unk	0.0551
29.78%	2.97	(n8	0.0288
29.95%	2.98	Knk	0.0267
30.12%	3.0	K	0.3659
30.28%	3.02	M	0.1856
30.45%	3.03	Un	0.0053
30.62%	3.05	u	0.1027
30.78%	3.07	(m	0.0294
30.95%	3.08	(m	0.1134
31.11%	3.1	Keh	0.023
31.28%	3.12	Ka	0.0304
31.45%	3.13	uM	0.0722
31.61%	3.15	M	0.1014
31.78%	3.17	Krs	0.0327
31.95%	3.18	Kes	0.0123
32.11%	3.2	Ke	0.0253
32.28%	3.22	0s8	0.1304
32.45%	3.23	0.58	0.3734
32.61%	3.25	0.59	0.5239
32.78%	3.27	1059	0.2648
32.95%	3.28	10,59	0.3703
33.11%	3.3	059	0.9927
33.28%	3.32	0,59	0.5998
33.44%	3.33	059	0.9991
33.61%	3.35	0.59	0.6816
33.78%	3.37	0,59	0.2707
33.94%	3.38	0.59	0.4544
34.11%	3.4	0,59	0.4415
34.28%	3.42	0.59	0.7226
34.44%	3.43	0.591	0.2636
34.61%	3.45	140I	0.4022
34.78%	3.47	1.401	0.6274
34.94%	3.48	1.401	0.3294
35.11%	3.5	I1401	0.1402
35.27%	3.52	1.40	0.8266
35.44%	3.53	1,.40	0.3817
35.61%	3.55	1.40	0.8928
35.77%	3.57	11401	0.3237
35.94%	3.58	I1,.401	0.1491
36.11%	3.6	11.401	0.2635
36.27%	3.62	1.401	0.346
36.44%	3.63	1.401	0.5193
36.61%	3.65	1.401	0.3824
36.77%	3.67	I10 391	0.1846
36.94%	3.68	I104391	0.1941
37.1%	3.7	I10391	0.4206
37.27%	3.72	I104391	0.1729
37.44%	3.73	I10 391	0.1809
37.6%	3.75	104391	0.61
37.77%	3.77	110.391	0.1574
37.94%	3.78	110391	0.185
38.1%	3.8	10.39	0.8839
38.27%	3.82	110.391	0.2081
38.44%	3.83	10.39	0.9841
38.6%	3.85	I10.391	0.4102
38.77%	3.87	5.83	0.9947
38.94%	3.88	5,.83	0.5502
39.1%	3.9	5.83	0.7161
39.27%	3.92	5.831	0.3938
39.43%	3.93	5.83	0.5548
39.6%	3.95	5.83	0.9925
39.77%	3.97	5.83	0.7934
39.93%	3.98	5.83	0.6255
40.1%	4.0	5.83	0.9915
40.27%	4.02	5.83	0.9876
40.43%	4.03	5.83	0.8944
40.6%	4.05	5.83	0.864
40.77%	4.07	0.56	0.9736
40.93%	4.08	0.56	0.9991
