41.1%	4.1	0.56	0.9973
41.26%	4.12	0.56	0.599
41.43%	4.13	0.56	0.9943
41.6%	4.15	0.56	0.5415
41.76%	4.17	0.561	0.8732
41.93%	4.18	0.561	0.4922
42.1%	4.2	0.561	0.6005
42.26%	4.22	10.56	0.609
42.43%	4.23	0.561	0.7288
42.6%	4.25	0.561	0.7663
42.76%	4.27	0.57	0.7424
42.93%	4.28	0.57	0.6675
43.09%	4.3	0.571	0.3821
43.26%	4.32	0.57	0.9471
43.43%	4.33	0.57	0.583
43.59%	4.35	057	0.9979
43.76%	4.37	0457	0.6016
43.93%	4.38	1057	0.757
44.09%	4.4	0457	0.9093
44.26%	4.42	0.57	0.7252
44.43%	4.43	0.57	0.6148
44.59%	4.45	1057	0.9047
44.76%	4.47	0.591	0.4852
44.93%	4.48	0.591	0.6949
45.09%	4.5	104591	0.2372
45.26%	4.52	104591	0.1561
45.42%	4.53	04591	0.6963
45.59%	4.55	0.59	0.7972
45.76%	4.57	10.59	0.9057
45.92%	4.58	0.591	0.46
46.09%	4.6	0,59	0.4303
46.26%	4.62	10.59	0.3656
46.42%	4.63	0.591	0.3419
46.59%	4.65	0.59	0.9889
46.76%	4.67	104561	0.2436
46.92%	4.68	0.561	0.5783
47.09%	4.7	0.561	0.2733
47.25%	4.72	10.561	0.4368
47.42%	4.73	0.56	0.5533
47.59%	4.75	0.56	0.8741
47.75%	4.77	10.561	0.332
47.92%	4.78	0.561	0.5425
48.09%	4.8	10.561	0.5064
48.25%	4.82	0.561	0.5812
48.42%	4.83	1056i	0.2091
48.59%	4.85	10.561	0.3188
48.75%	4.87	10.561	0.4471
48.92%	4.88	0.561	0.5332
49.08%	4.9	10.56	0.53
49.25%	4.92	0.56	0.997
49.42%	4.93	101561	0.1946
49.58%	4.95	10.561	0.2669
49.75%	4.97	10.56	0.9048
49.92%	4.98	10.561	0.2496
50.08%	5.0	101561	0.1438
50.25%	5.02	10.561	0.2673
50.42%	5.03	0.56	0.9717
50.58%	5.05	0.561	0.8374
50.75%	5.07	10l581	0.171
50.92%	5.08	10581	0.6001
51.08%	5.1	1058	0.8337
51.25%	5.12	10.58	0.3534
51.41%	5.13	10458	0.3017
51.58%	5.15	0.581	0.2966
51.75%	5.17	10.581	0.4825
51.91%	5.18	0458	0.6103
52.08%	5.2	058	0.999
52.25%	5.22	04581	0.4502
52.41%	5.23	0581	0.7132
52.58%	5.25	058	0.9993
52.75%	5.27	10.52	0.4048
52.91%	5.28	0.57	0.9302
53.08%	5.3	0.57	0.9912
53.24%	5.32	0457	0.6352
53.41%	5.33	10.57	0.3319
53.58%	5.35	0.57	0.9952
53.74%	5.37	-0.57	0.2303
53.91%	5.38	10.57	0.6215
54.08%	5.4	0.57	0.8133
54.24%	5.42	1057	0.7488
54.41%	5.43	10.57	0.7685
54.58%	5.45	0.57	0.1914
54.74%	5.47	0.55	0.5421
54.91%	5.48	10.561	0.3692
55.07%	5.5	0.561	0.7383
55.24%	5.52	10.561	0.4984
55.41%	5.53	0.561	0.8937
55.57%	5.55	10.56	0.8527
55.74%	5.57	10.56	0.8257
55.91%	5.58	10.56	0.5345
56.07%	5.6	10.561	0.5501
56.24%	5.62	0.56	0.8558
56.41%	5.63	10561	0.2042
56.57%	5.65	-0.56	0.9265
56.74%	5.67	104581	0.141
56.91%	5.68	10,581	0.3197
57.07%	5.7	1058	0.8416
57.24%	5.72	0.581	0.4812
57.4%	5.73	1058	0.8513
57.57%	5.75	1058	0.7114
57.74%	5.77	1058	0.6249
57.9%	5.78	10,58	0.4135
58.07%	5.8	0,58	0.5161
58.24%	5.82	10.58	0.3734
58.4%	5.83	10.58	0.4245
58.57%	5.85	0.581	0.3052
58.74%	5.87	0158	0.2551
58.9%	5.88	10581	0.3944
59.07%	5.9	10+581	0.1099
59.23%	5.92	10.58	0.3417
59.4%	5.93	10158	0.2301
59.57%	5.95	10.581	0.3893
59.73%	5.97	10581	0.5299
59.9%	5.98	10581	0.7085
60.07%	6.0	1058	0.8524
60.23%	6.02	1058	0.6942
60.4%	6.03	0.58	0.9215
60.57%	6.05	10.581	0.3442
60.73%	6.07	10.58	0.691
60.9%	6.08	10.58	0.1271
61.06%	6.1	10.58	0.2535
61.23%	6.12	0.581	0.1589
61.4%	6.13	1058	0.825
61.56%	6.15	058	0.9994
61.73%	6.17	10458	0.3575
61.9%	6.18	10.58	0.5529
62.06%	6.2	0.581	0.7418
62.23%	6.22	10.581	0.3819
62.4%	6.23	10581	0.7146
62.56%	6.25	0.58	0.5215
62.73%	6.27	10581	0.2856
62.9%	6.28	10.58	0.3905
63.06%	6.3	10.58	0.6449
63.23%	6.32	ID581	0.152
63.39%	6.33	10.58	0.8998
63.56%	6.35	10.58	0.3653
63.73%	6.37	0.58	0.3385
63.89%	6.38	10.58	0.5015
64.06%	6.4	10.581	0.1751
64.23%	6.42	01581	0.1712
64.39%	6.43	0458	0.3533
64.56%	6.45	0458	0.3446
64.73%	6.47	10458	0.3854
64.89%	6.48	0.58	0.5727
65.06%	6.5	10.58	0.1831
65.22%	6.52	0.591	0.4593
65.39%	6.53	0.591	0.6243
65.56%	6.55	0.591	0.4224
65.72%	6.57	0.591	0.4344
65.89%	6.58	0.591	0.7045
66.06%	6.6	10.591	0.288
66.22%	6.62	10.59 	0.2809
66.39%	6.63	0.59	0.8289
66.56%	6.65	0.59	0.8623
66.72%	6.67	10.59	0.729
66.89%	6.68	0.591	0.6424
67.05%	6.7	B.75	0.601
67.22%	6.72	13.75	0.6447
67.39%	6.73	3.75	0.6686
67.55%	6.75	3.,75	0.2972
67.72%	6.77	3.75	0.6584
67.89%	6.78	13,75	0.4625
68.05%	6.8	13.75	0.4798
68.22%	6.82	3.75	0.7432
68.39%	6.83	B.75	0.4887
68.55%	6.85	3.75	0.517
68.72%	6.87	3.75	0.5285
68.89%	6.88	3.75	0.8736
69.05%	6.9	I1o.41	0.3972
69.22%	6.92	I1041	0.3758
69.38%	6.93	I10.41	0.464
69.55%	6.95	I1o.41	0.2655
69.72%	6.97	I10.41	0.6095
69.88%	6.98	l10.41	0.3193
70.05%	7.0	10.41	0.9688
70.22%	7.02	l1o 41	0.1723
70.38%	7.03	10.41	0.9798
70.55%	7.05	10.41	0.9977
70.72%	7.07	I10.41	0.5526
70.88%	7.08	lo 41	0.1498
71.05%	7.1	14.661	0.38
71.21%	7.12	4.661	0.44
71.38%	7.13	4.66	0.4681
71.55%	7.15	4.661	0.4645
71.71%	7.17	4. 661	0.2832
71.88%	7.18	4.661	0.5284
72.05%	7.2	4. 661	0.2356
72.21%	7.22	4.661	0.4931
72.38%	7.23	4. 661	0.2208
72.55%	7.25	4.661	0.24
72.71%	7.27	14.661	0.1377
72.88%	7.28	4.661	0.4711
73.04%	7.3	0.561	0.7163
73.21%	7.32	0561	0.6923
73.38%	7.33	0.561	0.7988
73.54%	7.35	0.561	0.6233
73.71%	7.37	0.561	0.6574
73.88%	7.38	0.561	0.5072
74.04%	7.4	0.561	0.6843
74.21%	7.42	0.561	0.7707
74.38%	7.43	01561	0.4747
74.54%	7.45	0.56	0.9982
74.71%	7.47	0.561	0.7472
74.88%	7.48	0.56	0.8359
75.04%	7.5	0.561	0.6711
75.21%	7.52	0.561	0.6563
75.37%	7.53	1058	0.6609
75.54%	7.55	I0. 58	0.1258
75.71%	7.57	0.581	0.6253
75.87%	7.58	0.581	0.2562
76.04%	7.6	1058	0.8796
76.21%	7.62	04581	0.239
76.37%	7.63	0.58	0.9069
76.54%	7.65	0.58	0.528
76.71%	7.67	0.581	0.7262
76.87%	7.68	058	0.9999
77.04%	7.7	0.581	0.7509
77.2%	7.72	0.59	0.997
77.37%	7.73	10.591	0.4174
77.54%	7.75	10.59	0.6832
77.7%	7.77	10.59	0.57
77.87%	7.78	0.59	0.6687
78.04%	7.8	0.59	0.5141
78.2%	7.82	0.591	0.3095
78.37%	7.83	10.591	0.2349
78.54%	7.85	0.59	0.9444
78.7%	7.87	0.591	0.6283
78.87%	7.88	0.59	0.6573
79.03%	7.9	10455	0.3249
79.2%	7.92	0.55	0.9986
79.37%	7.93	0.55	0.7615
79.53%	7.95	0.55	0.783
79.7%	7.97	10.55	0.625
79.87%	7.98	10.55	0.8343
80.03%	8.0	0.551	0.3796
80.2%	8.02	0.55	0.3862
80.37%	8.03	0.551	0.3477
80.53%	8.05	10.551	0.4506
80.7%	8.07	0.55	0.1869
80.87%	8.08	10.551	0.5371
81.03%	8.1	0.551	0.6842
81.2%	8.12	0.56	0.9599
81.36%	8.13	10.561	0.4728
81.53%	8.15	0.561	0.4305
81.7%	8.17	10.561	0.2774
81.86%	8.18	0.561	0.5313
82.03%	8.2	0.561	0.5647
82.2%	8.22	10.561	0.5325
82.36%	8.23	10.561	0.505
82.53%	8.25	0.561	0.7457
82.7%	8.27	10,56	0.5083
82.86%	8.28	10.561	0.3425
83.03%	8.3	10,56	0.6238
83.19%	8.32	0.521	0.2096
83.36%	8.33	10457	0.3533
83.53%	8.35	10.57	0.3917
83.69%	8.37	~0.57	0.6352
83.86%	8.38	10.57	0.3405
84.03%	8.4	10.57	0.4788
84.19%	8.42	10.57	0.4497
84.36%	8.43	0.574	0.1737
84.53%	8.45	0.57	0.8085
84.69%	8.47	10.57	0.4248
84.86%	8.48	10.57	0.6081
85.02%	8.5	0,57	0.646
85.19%	8.52	10.57	0.3642
85.36%	8.53	104534	0.1662
85.52%	8.55	10581	0.3963
85.69%	8.57	0458	0.7399
85.86%	8.58	0.581	0.2927
86.02%	8.6	0.581	0.5304
86.19%	8.62	0.581	0.1532
86.36%	8.63	1058	0.5513
86.52%	8.65	04581	0.3816
86.69%	8.67	058	0.9933
86.86%	8.68	058	0.9958
87.02%	8.7	10.58	0.6827
87.19%	8.72	0531	0.4922
87.35%	8.73	10457	0.3695
87.52%	8.75	0.574	0.3435
87.69%	8.77	0.574	0.2918
87.85%	8.78	10.574	0.3918
88.02%	8.8	10.574	0.3079
88.19%	8.82	0.57	0.8242
88.35%	8.83	0.57	0.887
88.52%	8.85	0.57	0.7874
88.69%	8.87	0.57	0.8507
88.85%	8.88	0.57	0.8269
89.02%	8.9	10457	0.1055
89.18%	8.92	10.57	0.6875
89.35%	8.93	10.53	0.474
89.52%	8.95	0.581	0.1966
89.68%	8.97	10.58	0.4192
89.85%	8.98	10.58	0.7132
90.02%	9.0	10581	0.5482
90.18%	9.02	0158	0.3937
90.35%	9.03	10581	0.4713
90.52%	9.05	0158	0.3275
90.68%	9.07	10581	0.377
90.85%	9.08	0458	0.227
91.01%	9.1	058	0.9869
91.18%	9.12	0.58	0.5701
91.35%	9.13	10.581	0.335
91.51%	9.15	10.591	0.3397
91.68%	9.17	0.59	0.9777
91.85%	9.18	0.59	0.9928
92.01%	9.2	10.591	0.3254
92.18%	9.22	0.59	0.9395
92.35%	9.23	10.59	0.6564
92.51%	9.25	0.591	0.5838
92.68%	9.27	10.59	0.6175
92.85%	9.28	0.591	0.5931
93.01%	9.3	0,591	0.1974
93.18%	9.32	0.591	0.5467
93.34%	9.33	10.591	0.3437
93.51%	9.35	0.58	0.4549
93.68%	9.37	10.58	0.3215
93.84%	9.38	1058	0.8358
94.01%	9.4	1058	0.6677
94.18%	9.42	0.58	0.669
94.34%	9.43	0.58	0.6882
94.51%	9.45	10,58	0.2881
94.68%	9.47	058	0.9999
94.84%	9.48	0158	0.2167
95.01%	9.5	1058	0.6591
95.17%	9.52	#0.58	0.2613
95.34%	9.53	0.58	0.6692
95.51%	9.55	0158	0.4494
95.67%	9.57	0.58	0.7884
95.84%	9.58	10.58	0.5616
96.01%	9.6	101581	0.1428
96.17%	9.62	0.581	0.3125
96.34%	9.63	04581	0.1608
96.51%	9.65	0.581	0.1958
96.67%	9.67	1058	0.6412
96.84%	9.68	104581	0.1332
97.0%	9.7	0.581	0.5761
97.17%	9.72	0.581	0.2466
97.34%	9.73	0.581	0.2399
97.5%	9.75	0158	0.4181
97.67%	9.77	0.54	0.5434
97.84%	9.78	0.54	0.433
98.0%	9.8	0.54	0.413
98.17%	9.82	0 54	0.2553
98.34%	9.83	10.54	0.2427
98.5%	9.85	054	0.9897
98.67%	9.87	054	0.9952
98.84%	9.88	0.54	0.9563
99.0%	9.9	0.54	0.9977
99.17%	9.92	0.54	0.9668
99.33%	9.93	1-0.54	0.4493
99.5%	9.95	I10.01	0.2839
99.67%	9.97	10.01	0.8002
99.83%	9.98	10.01	0.9922
100.0%	10.0	I10.01	0.4895
