VID_PATH = ./data/IMG_5919.MOV
RSZ_SCLE = 0.8
HGT, WDT = 2160, 3840
LEN, FPS = 1612, 32

4.84%	2.08	0.35	0.6131
4.9%	2.12	0.35	0.6398
4.96%	2.15	0.35	0.9999
5.02%	2.18	0.35	0.8102
5.09%	2.22	0.35	0.8845
5.15%	2.25	0.35	0.9999
5.21%	2.28	0.34	0.6852
5.27%	2.32	0.34	0.6901
5.33%	2.35	0.34	0.9999
5.4%	2.38	0.34	1.0
5.46%	2.42	0.34	0.9998
5.52%	2.45	0.34	0.5942
5.58%	2.48	0.35	0.9999
5.65%	2.52	0.35	0.9995
5.71%	2.55	0.35	0.9998
5.77%	2.58	0.35	0.999
5.83%	2.62	0.35	0.9997
5.89%	2.65	0.35	0.9999
5.96%	2.68	0.35	0.8595
6.02%	2.72	0.35	0.6576
6.08%	2.75	0.35	0.9998
6.14%	2.78	0.35	0.9998
6.2%	2.82	0.35	0.9999
6.27%	2.85	0.35	0.9221
6.33%	2.88	0.35	0.9998
6.39%	2.92	0.35	0.6977
6.45%	2.95	0.35	0.9999
6.51%	2.98	0.35	0.92
6.58%	3.02	0.35	0.9999
6.64%	3.05	0.35	0.9999
6.7%	3.08	0.34	1.0
6.76%	3.12	0.34	0.6422
6.82%	3.15	0.34	0.982
6.89%	3.18	0.34	0.9999
6.95%	3.22	0.34	0.7426
7.01%	3.25	0.34	0.7577
7.07%	3.28	0.34	1.0
7.13%	3.32	0.35	0.9999
7.2%	3.35	0.35	0.9264
7.26%	3.38	0.35	0.898
7.32%	3.42	0.35	0.9999
7.38%	3.45	0.35	0.9999
7.44%	3.48	0.35	0.9999
7.51%	3.52	0.42	1.0
7.57%	3.55	0.42	0.8417
7.63%	3.58	0.42	0.9032
7.69%	3.62	0.42	0.8475
7.75%	3.65	0.42	1.0
7.82%	3.68	0.42	0.9468
7.88%	3.72	2.00	0.9997
7.94%	3.75	2.00	0.9732
8.0%	3.78	2.00	0.9984
8.06%	3.82	2.00	0.9993
8.13%	3.85	2.00	0.9993
8.19%	3.88	2.00	0.9981
8.25%	3.92	7.40	0.991
8.31%	3.95	7.40	0.6744
8.37%	3.98	7.40	0.9932
8.44%	4.02	7.40	0.9953
8.5%	4.05	7.40	0.5774
8.56%	4.08	7.40	0.9974
8.62%	4.12	4.94	0.9954
8.68%	4.15	4.94	0.9904
8.75%	4.18	4.94	0.8517
8.81%	4.22	4.94	0.9989
8.87%	4.25	4.94	1.0
8.93%	4.28	4.94	0.6995
9.0%	4.32	3.04	0.8109
9.06%	4.35	3.04	0.877
9.12%	4.38	3.04	0.8722
9.18%	4.42	3.04	0.9999
9.24%	4.45	3.04	0.9999
9.31%	4.48	3.04	0.6451
9.37%	4.52	3.22	0.894
9.43%	4.55	3.22	0.9997
9.49%	4.58	3.22	0.9999
9.55%	4.62	3.22	0.6307
9.62%	4.65	3.22	0.9998
9.68%	4.68	3.22	0.6912
9.74%	4.72	3.43	0.702
9.8%	4.75	3.43	0.6767
9.86%	4.78	3.13	0.7695
9.93%	4.82	3.13	0.4324
9.99%	4.85	3.13	0.7029
10.05%	4.88	0.43	0.341
10.11%	4.92	0.31	0.9946
10.17%	4.95	0.31	0.9633
10.24%	4.98	0.31	0.9995
10.3%	5.02	0.31	0.9995
10.36%	5.05	0.31	0.9988
10.42%	5.08	0.31	0.9985
10.48%	5.12	0.31	0.8516
10.55%	5.15	0.33	0.9999
10.61%	5.18	0.33	1.0
10.67%	5.22	0.33	1.0
10.73%	5.25	0.33	1.0
10.79%	5.28	0.33	1.0
10.86%	5.32	0.33	0.6125
10.92%	5.35	0.33	1.0
10.98%	5.38	0.33	0.6432
11.04%	5.42	0.33	0.8223
11.1%	5.45	0.33	1.0
11.17%	5.48	0.33	1.0
11.23%	5.52	0.33	1.0
11.29%	5.55	0.33	0.9957
11.35%	5.58	0.33	1.0
11.41%	5.62	0.33	1.0
11.48%	5.65	0.33	1.0
11.54%	5.68	0.33	0.8124
11.6%	5.72	0.33	1.0
11.66%	5.75	0.33	1.0
11.72%	5.78	0.33	0.9999
11.79%	5.82	0.33	0.9999
11.85%	5.85	0.33	0.8842
11.91%	5.88	0.33	0.7146
11.97%	5.92	0.33	1.0
12.03%	5.95	0.33	1.0
12.1%	5.98	0.33	1.0
12.16%	6.02	0.33	0.7895
12.22%	6.05	0.33	0.9511
12.28%	6.08	0.33	0.9999
12.34%	6.12	0.33	0.9999
12.41%	6.15	0.33	0.9998
12.47%	6.18	0.33	0.9999
12.53%	6.22	0.33	0.9449
12.59%	6.25	0.33	0.9999
12.66%	6.28	0.33	0.9999
12.72%	6.32	0.33	0.9999
12.78%	6.35	0.33	0.9999
12.84%	6.38	0.33	0.5619
12.9%	6.42	0.33	0.9999
12.97%	6.45	0.33	0.9999
13.03%	6.48	0.33	0.9999
13.09%	6.52	0.33	0.9999
13.15%	6.55	0.33	0.9999
13.21%	6.58	0.33	0.9999
13.28%	6.62	0.33	0.9999
13.34%	6.65	0.33	1.0
13.4%	6.68	0.33	0.6907
13.46%	6.72	0.33	0.9999
13.52%	6.75	0.33	1.0
13.59%	6.78	0.33	0.9999
13.65%	6.82	0.33	0.9999
13.71%	6.85	0.33	0.9633
13.77%	6.88	0.33	0.9848
13.83%	6.92	0.33	0.9996
13.9%	6.95	0.33	1.0
13.96%	6.98	0.33	1.0
14.02%	7.02	0.33	0.9999
14.08%	7.05	0.33	0.9998
14.14%	7.08	0.33	0.9999
14.21%	7.12	0.33	0.5549
14.27%	7.15	0.33	0.5406
14.33%	7.18	0.33	0.6139
14.39%	7.22	0.33	1.0
14.45%	7.25	0.33	0.6495
14.52%	7.28	0.33	1.0
14.58%	7.32	0.33	1.0
14.64%	7.35	0.33	1.0
14.7%	7.38	0.33	1.0
14.76%	7.42	0.33	1.0
14.83%	7.45	0.33	1.0
14.89%	7.48	0.33	0.605
14.95%	7.52	0.33	1.0
15.01%	7.55	0.33	1.0
15.07%	7.58	0.33	0.7449
15.14%	7.62	0.33	1.0
15.2%	7.65	0.33	0.9991
15.26%	7.68	0.33	0.999
15.32%	7.72	0.33	0.9469
15.38%	7.75	0.33	0.5863
15.45%	7.78	0.33	1.0
15.51%	7.82	0.33	0.9998
15.57%	7.85	0.33	1.0
15.63%	7.88	0.33	1.0
15.69%	7.92	0.33	1.0
15.76%	7.95	03	0.2379
15.82%	7.98	0.31	0.9141
15.88%	8.02	0.31	0.7602
15.94%	8.05	0.31	0.9887
16.0%	8.08	0.34	0.6339
16.07%	8.12	-0.31	0.7239
16.13%	8.15	0.31	0.9576
16.19%	8.18	0.25	0.6008
16.25%	8.22	0.25	0.8077
16.32%	8.25	0.25	0.995
16.38%	8.28	0.25	0.9999
16.44%	8.32	0.25	0.9997
16.5%	8.35	0.25	0.9999
16.56%	8.38	0.27	0.9999
16.63%	8.42	0.27	0.9998
16.69%	8.45	0.27	0.5879
16.75%	8.48	0.27	0.9999
16.81%	8.52	0.27	0.9992
16.87%	8.55	0.27	0.9921
16.94%	8.58	0.27	0.9994
17.0%	8.62	0.27	0.9051
17.06%	8.65	0.27	1.0
17.12%	8.68	0.27	1.0
17.18%	8.72	0.27	0.9086
17.25%	8.75	0.27	1.0
17.31%	8.78	0.27	0.9999
17.37%	8.82	0.27	0.7926
17.43%	8.85	0.27	1.0
17.49%	8.88	0.27	0.9999
17.56%	8.92	0.27	0.9998
17.62%	8.95	0.27	0.9199
17.68%	8.98	0.27	0.9475
17.74%	9.02	0.27	1.0
17.8%	9.05	0.27	0.5889
17.87%	9.08	0.27	1.0
17.93%	9.12	0.27	0.5792
17.99%	9.15	0.27	1.0
18.05%	9.18	0.27	1.0
18.11%	9.22	0.27	1.0
18.18%	9.25	0.27	0.9589
18.24%	9.28	0.27	0.7158
18.3%	9.32	0.27	0.6134
18.36%	9.35	0.27	0.875
18.42%	9.38	0.27	1.0
18.49%	9.42	0.27	1.0
18.55%	9.45	0.27	1.0
18.61%	9.48	0.27	0.9598
18.67%	9.52	0.27	0.9999
18.73%	9.55	0.27	0.9447
18.8%	9.58	0.27	1.0
18.86%	9.62	0.27	0.868
18.92%	9.65	0.27	0.8903
18.98%	9.68	0.27	0.9991
19.04%	9.72	0.27	1.0
19.11%	9.75	0.27	1.0
19.17%	9.78	0.27	0.9999
19.23%	9.82	0.27	0.9997
19.29%	9.85	0.27	0.7426
19.35%	9.88	0.27	0.9999
19.42%	9.92	0.27	0.9336
19.48%	9.95	0.27	0.9999
19.54%	9.98	0.27	1.0
19.6%	10.02	0.27	1.0
19.67%	10.05	0.27	1.0
19.73%	10.08	0.27	1.0
