VID_PATH = ./data/IMG_5919.MOV
RSZ_SCLE = 0.8
HGT, WDT = 2160, 3840
LEN, FPS = 1612, 32

6.45%	2.95	0.35	0.6843
6.51%	2.98	0.35	0.9999
6.58%	3.02	0.35	0.9999
6.64%	3.05	0.35	0.9998
6.7%	3.08	0.34	1.0
6.76%	3.12	0.34	0.6422
6.82%	3.15	0.34	0.7804
6.89%	3.18	0.34	0.9999
6.95%	3.22	0.34	0.9999
7.01%	3.25	0.34	0.7577
7.07%	3.28	0.34	1.0
7.13%	3.32	0.35	0.9998
7.2%	3.35	0.35	0.9999
7.26%	3.38	0.35	0.898
7.32%	3.42	0.35	0.9999
7.38%	3.45	0.35	0.9999
7.44%	3.48	0.35	0.9999
7.51%	3.52	0.42	1.0
7.57%	3.55	0.42	0.8417
7.63%	3.58	0.42	0.5713
7.69%	3.62	0.42	0.8897
7.75%	3.65	0.42	0.609
7.82%	3.68	0.42	0.8639
7.88%	3.72	2.00	0.9994
7.94%	3.75	2.00	0.9994
8.0%	3.78	2.00	0.9986
8.06%	3.82	2.00	0.9997
8.13%	3.85	2.00	0.9619
8.19%	3.88	2.00	0.9996
8.25%	3.92	7.40	0.7222
8.31%	3.95	7.40	0.6111
8.37%	3.98	7.40	0.9976
8.44%	4.02	7.40	0.69
8.5%	4.05	7.40	0.8826
8.56%	4.08	7.40	0.6055
8.62%	4.12	4.94	0.9999
8.68%	4.15	4.94	0.7769
8.75%	4.18	4.94	0.9597
8.81%	4.22	4.94	0.9981
8.87%	4.25	4.94	1.0
8.93%	4.28	4.94	0.9982
9.0%	4.32	3.04	0.7531
9.06%	4.35	3.04	0.8261
9.12%	4.38	3.04	0.9999
9.18%	4.42	3.04	0.9998
9.24%	4.45	3.04	0.8626
9.31%	4.48	3.04	0.8586
9.37%	4.52	3.22	0.894
9.43%	4.55	3.22	1.0
9.49%	4.58	3.22	1.0
9.55%	4.62	3.22	0.9999
9.62%	4.65	3.22	0.9999
9.68%	4.68	3.22	0.9999
9.74%	4.72	3.43	0.7163
9.8%	4.75	3.43	0.6767
9.86%	4.78	3.13	0.5838
9.93%	4.82	3.13	0.8185
9.99%	4.85	3.13	0.5055
10.05%	4.88	0.-	0.2672
10.11%	4.92	0.31	0.9882
10.17%	4.95	0.31	0.9948
10.24%	4.98	0.31	0.9996
10.3%	5.02	0.31	0.9988
10.36%	5.05	0.31	0.9996
10.42%	5.08	0.31	0.9993
10.48%	5.12	0.31	0.8482
10.55%	5.15	0.33	1.0
10.61%	5.18	0.33	1.0
10.67%	5.22	0.33	0.9999
10.73%	5.25	0.33	1.0
10.79%	5.28	0.33	0.9998
10.86%	5.32	0.33	0.9999
10.92%	5.35	0.33	1.0
10.98%	5.38	0.33	0.626
11.04%	5.42	0.33	1.0
11.1%	5.45	0.33	1.0
11.17%	5.48	0.33	1.0
11.23%	5.52	0.33	1.0
11.29%	5.55	0.33	1.0
11.35%	5.58	0.33	0.9999
11.41%	5.62	0.33	1.0
11.48%	5.65	0.33	1.0
11.54%	5.68	0.33	1.0
11.6%	5.72	0.33	1.0
11.66%	5.75	0.33	1.0
11.72%	5.78	0.33	1.0
11.79%	5.82	0.33	1.0
11.85%	5.85	0.33	1.0
11.91%	5.88	0.33	1.0
11.97%	5.92	0.33	0.9979
12.03%	5.95	0.33	1.0
12.1%	5.98	0.33	1.0
12.16%	6.02	0.33	0.9999
12.22%	6.05	0.33	0.8885
12.28%	6.08	0.33	0.9999
12.34%	6.12	0.33	0.6685
12.41%	6.15	0.33	0.9999
12.47%	6.18	0.33	0.9999
12.53%	6.22	0.33	0.6462
12.59%	6.25	0.33	0.9999
12.66%	6.28	0.33	0.9999
12.72%	6.32	0.33	0.9999
12.78%	6.35	0.33	0.9999
12.84%	6.38	0.33	0.5619
12.9%	6.42	0.33	0.9999
12.97%	6.45	0.33	0.9999
13.03%	6.48	0.33	0.9999
13.09%	6.52	0.33	0.9999
13.15%	6.55	0.33	1.0
13.21%	6.58	0.33	0.9999
13.28%	6.62	0.33	0.9999
13.34%	6.65	0.33	1.0
13.4%	6.68	0.33	0.5535
13.46%	6.72	0.33	0.9999
13.52%	6.75	0.33	0.5475
13.59%	6.78	0.33	0.9999
13.65%	6.82	0.33	1.0
13.71%	6.85	0.33	0.9633
13.77%	6.88	0.33	0.9999
13.83%	6.92	0.33	1.0
13.9%	6.95	0.33	1.0
13.96%	6.98	0.33	1.0
14.02%	7.02	0.33	1.0
14.08%	7.05	0.33	0.9998
14.14%	7.08	0.33	0.9999
14.21%	7.12	0.33	0.5549
14.27%	7.15	0.33	0.7335
14.33%	7.18	0.33	0.6139
14.39%	7.22	0.33	0.9997
14.45%	7.25	0.33	0.6495
14.52%	7.28	0.33	1.0
14.58%	7.32	0.33	1.0
14.64%	7.35	0.33	0.9999
14.7%	7.38	0.33	1.0
14.76%	7.42	0.33	0.85
14.83%	7.45	0.33	0.9999
14.89%	7.48	0.33	1.0
14.95%	7.52	0.33	1.0
15.01%	7.55	0.33	1.0
15.07%	7.58	0.33	0.7449
15.14%	7.62	0.33	0.9985
15.2%	7.65	0.33	1.0
15.26%	7.68	0.33	1.0
15.32%	7.72	0.33	0.9469
15.38%	7.75	0.33	0.6864
15.45%	7.78	0.33	1.0
15.51%	7.82	0.33	1.0
15.57%	7.85	0.33	1.0
15.63%	7.88	0.33	1.0
15.69%	7.92	0.33	1.0
