VID_PATH = ./data/IMG_6054.MOV
RSZ_SCLE = 0.8
HGT, WDT = 2160, 3840
LEN, FPS = 639, 31

6.26%	0.65	0.81	0.9718
6.42%	0.67	0.81	0.9749
6.57%	0.68	0.81	0.9741
6.73%	0.7	0.81	0.9548
6.89%	0.72	0.81	0.9607
7.04%	0.73	0.81	0.9631
7.2%	0.75	0.81	0.9688
7.36%	0.77	0.81	0.9572
7.51%	0.78	0.81	0.9928
7.67%	0.8	0.81	0.9611
7.82%	0.82	0.81	0.9731
7.98%	0.83	0.81	0.9393
8.14%	0.85	0.81	0.9804
8.29%	0.87	0.81	0.957
8.45%	0.88	0.81	0.9653
8.61%	0.92	0.81	0.9527
8.76%	0.95	0.81	0.9586
8.92%	0.98	0.81	0.9268
9.08%	1.02	0.81	0.9492
9.23%	1.05	0.81	0.9641
9.39%	1.08	0.81	0.9747
9.55%	1.12	0.81	0.9815
9.7%	1.15	0.82	0.9794
9.86%	1.18	0.82	0.9731
10.02%	1.22	0.82	0.9819
10.17%	1.25	0.82	0.9854
10.33%	1.28	0.82	0.98
10.49%	1.32	0.82	0.9828
10.64%	1.35	0.82	0.9422
10.8%	1.38	0.81	0.9871
10.95%	1.42	0.81	0.99
11.11%	1.45	0.81	0.964
11.27%	1.48	0.81	0.9765
11.42%	1.52	0.81	0.9781
11.58%	1.55	0.82	0.9689
11.74%	1.58	0.82	0.9801
11.89%	1.62	0.82	0.9804
12.05%	1.65	0.82	0.9834
12.21%	1.68	0.82	0.984
12.36%	1.72	0.82	0.9712
12.52%	1.75	0.82	0.9519
12.68%	1.78	4.21	0.9496
12.83%	1.82	4.21	0.9712
12.99%	1.85	4.21	0.9187
13.15%	1.88	4.21	0.9747
13.3%	1.92	4.21	0.9569
13.46%	1.95	6.48	0.9914
13.62%	1.98	6.48	0.9824
13.77%	2.02	6.48	0.9628
13.93%	2.05	6.48	0.9637
14.08%	2.08	6.48	0.9718
14.24%	2.12	6.48	0.9711
14.4%	2.15	6.48	0.9714
14.55%	2.18	4.71	0.9847
14.71%	2.22	4.71	0.9851
14.87%	2.25	4.71	0.9854
15.02%	2.28	4.71	0.9848
15.18%	2.32	4.71	0.9903
15.34%	2.35	4.71	0.982
15.49%	2.38	4.77	0.9901
15.65%	2.42	4.77	0.9962
15.81%	2.45	4.77	0.9805
15.96%	2.48	4.77	0.9813
16.12%	2.52	4.77	0.989
16.28%	2.55	4.77	0.9932
16.43%	2.58	8.02	0.9939
16.59%	2.62	8.02	0.994
16.74%	2.65	8.02	0.9912
16.9%	2.68	8.02	0.9914
17.06%	2.72	8.02	0.9905
17.21%	2.75	8.02	0.9911
17.37%	2.78	0.56	0.9693
17.53%	2.82	0.56	0.9795
17.68%	2.85	0.56	0.972
17.84%	2.88	0.56	0.9785
18.0%	2.92	0.56	0.9793
18.15%	2.95	0.81	0.9746
18.31%	2.98	0.81	0.9925
18.47%	3.02	0.81	0.9849
18.62%	3.05	0.81	0.9867
18.78%	3.08	0.81	0.9905
18.94%	3.12	0.81	0.9896
19.09%	3.15	0.81	0.9895
19.25%	3.18	0.81	0.9845
19.41%	3.22	0.81	0.9883
19.56%	3.25	0.81	0.9932
