58/6848, 284.17, 195, [([[20, 30], [64, 30], [64, 54], [20, 54]], '0.35', 0.9182798459681482)]
59/6848, 296.67, 195, [([[22, 30], [66, 30], [66, 54], [22, 54]], '0.35', 0.9983465671539307)]
60/6848, 300.83, 195, [([[22, 30], [66, 30], [66, 54], [22, 54]], '0.35', 0.9011346629257294)]
61/6848, 305.0, 195, [([[22, 30], [66, 30], [66, 54], [22, 54]], '0.35', 0.7869237412714691)]
62/6848, 309.17, 195, [([[22, 30], [66, 30], [66, 54], [22, 54]], '0.35', 0.9088828522217222)]
63/6848, 313.33, 195, [([[22, 30], [66, 30], [66, 54], [22, 54]], '0.35', 0.9265384764211282)]
64/6848, 317.5, 195, [([[23, 33], [65, 33], [65, 53], [23, 53]], '0.35', 0.5369108872972942)]
65/6848, 321.67, 195, [([[23, 33], [65, 33], [65, 53], [23, 53]], '0.35', 0.9994555711746216)]
66/6848, 325.83, 195, [([[22, 32], [66, 32], [66, 56], [22, 56]], '0.35', 0.7677536657075437)]
67/6848, 330.0, 195, [([[22, 32], [66, 32], [66, 56], [22, 56]], '0.35', 0.9991551041603088)]
68/6848, 338.33, 195, [([[22, 32], [66, 32], [66, 56], [22, 56]], '0.35', 0.8885937368457509)]
69/6848, 346.67, 195, [([[22, 32], [68, 32], [68, 56], [22, 56]], '0.35', 0.9988444447517395)]
70/6848, 359.17, 195, [([[22, 32], [68, 32], [68, 56], [22, 56]], '0.35', 0.9620488006712872)]
71/6848, 363.33, 195, [([[22, 32], [68, 32], [68, 56], [22, 56]], '0.35', 0.6152318726406089)]
72/6848, 375.83, 195, [([[22, 32], [68, 32], [68, 56], [22, 56]], '0.335', 0.6587008589711969)]
73/6848, 380.0, 195, [([[24, 32], [68, 32], [68, 56], [24, 56]], '0.35', 0.9975713491439819)]
74/6848, 384.17, 195, [([[24, 32], [68, 32], [68, 56], [24, 56]], '0.35', 0.9976317882537842)]
75/6848, 388.33, 195, [([[24, 32], [68, 32], [68, 56], [24, 56]], '0.35', 0.9758792084373111)]
76/6848, 392.5, 195, [([[24, 32], [68, 32], [68, 56], [24, 56]], '0.35', 0.5900797058182023)]
77/6848, 396.67, 195, [([[24, 32], [68, 32], [68, 56], [24, 56]], '0.35', 0.9963444052967501)]
